EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha
BE,i01.f,2014,6.677592563436742
BE,i01.f,2015,13.9995675948203
BE,i01.f,2016,7.169869917923442
BE,i01.f,2017,0.0
BE,i01.f,2018,0.0
BE,i01.f,2019,1.04373284021957e-16
BE,i01.f,2020,0.0
BE,i01.f,2021,0.0
BE,i01.f,2022,0.0
BE,i01.g,2001,5.255205963406888
BE,i01.g,2002,13.94214274956315
BE,i01.g,2003,4.217708389944543e-18
BE,i01.g,2004,0.0
BE,i01.g,2005,3.705517405071802e-16
BE,i01.g,2006,0.0
BE,i01.g,2007,0.0
BE,i01.g,2008,5.48408536727696e-18
BE,i01.g,2009,0.0
BE,i01.g,2010,0.0
BE,i01.g,2011,0.6082012127592987
BE,i01.g,2012,9.384192468828143
BE,i01.g,2013,3.883874409954045
BE,i01.g,2014,7.517899431238729
BE,i01.g,2015,1.3514400612820057
BE,i01.g,2016,0.3404496637190619
BE,i01.g,2017,10.576175939636801
BE,i01.g,2018,5.163934926812918
BE,i01.g,2019,10.22926563799669
BE,i01.g,2020,0.0
BE,i01.g,2021,4.276452932226038
BE,i01.g,2022,1.794742934332533
BE,i01.h,2001,2.157326732815735
BE,i01.h,2002,9.818670822305084
BE,i01.h,2003,0.11790098530039729
BE,i01.h,2004,0.1922210453830497
BE,i01.h,2005,0.10950935891239032
BE,i01.h,2006,1.508159568611471
BE,i01.h,2007,0.008794040469370245
BE,i01.h,2008,0.05010755463331855
BE,i01.h,2009,0.02615500151614092
BE,i01.h,2010,0.023591619199915
BE,i01.h,2011,1.5623916229284604e-17
BE,i01.h,2012,7.875967573716087
BE,i01.h,2013,0.08004059137294893
BE,i01.h,2014,0.36062450794787565
BE,i01.h,2015,0.05540904251256228
BE,i01.h,2016,0.08851691256695607
BE,i01.h,2017,0.03340284544693818
BE,i01.h,2018,0.0
BE,i01.h,2019,6.34102576075073e-19
BE,i01.h,2020,0.0
BE,i01.h,2021,0.0
BE,i01.h,2022,0.0
BE,i01.i,2001,16.73484355625007
BE,i01.i,2002,0.0
BE,i01.i,2003,0.0
BE,i01.i,2004,0.0
BE,i01.i,2005,0.0
BE,i01.i,2006,0.0
BE,i01.i,2007,0.0
BE,i01.i,2008,0.0
BE,i01.i,2009,144.01452160898506
BE,i01.i,2010,0.0
BE,i01.i,2011,78.54646606382929
BE,i01.i,2012,0.0
BE,i01.i,2013,0.0
BE,i01.i,2014,0.0
BE,i01.i,2015,16.742307106346242
BE,i01.i,2016,7.880209750914331
BE,i01.i,2017,32.26841131629368
BE,i01.i,2018,0.0
BE,i01.i,2019,54.457811923527565
BE,i01.i,2020,63.19739715500437
BE,i01.i,2021,37.7243235175805
BE,i01.i,2022,19.398282463913905
BE,i02,2001,0.0
