,ISO,FAO,Deforestation_hectares,Size,ISO2
2405,ETH,44,154.4980118122873,496.23266666666666,ET
2406,ETH,56,1548.656956756759,2081.571,ET
2407,ETH,75,10.20254384190149,7.184666666666667,ET
2408,ETH,79,67.29104302467945,304.97,ET
2409,ETH,83,162.3366364996465,1309.945,ET
2410,ETH,108,1064.927366066698,1596.7815,ET
2411,ETH,116,79.55830876126359,180.40633333333335,ET
2412,ETH,122,34.81196893404453,232.81366666666665,ET
2413,ETH,136,166.2207697741549,570.251,ET
2414,ETH,137,4.132393689019821,6.893,ET
2415,ETH,156,8.92368466461401,115.79833333333333,ET
2416,ETH,176,350.781955861214,330.8273333333333,ET
2417,ETH,181,417.05151476395,401.5515,ET
2418,ETH,187,4.854379696676561,181.32433333333336,ET
2419,ETH,191,7.754105849421885,286.405,ET
2420,ETH,201,53.05343971644129,122.03,ET
2421,ETH,205,29.41009866345821,103.257,ET
2422,ETH,211,200.0019481171515,72.9665,ET
2423,ETH,234,1.944384163236755,93.643,ET
2424,ETH,236,241.3720583071864,57.717,ET
2425,ETH,242,232.60482711249,111.29,ET
2426,ETH,265,1.798930772568907,11.443666666666665,ET
2427,ETH,267,7.64316007660902,3.0873333333333335,ET
2428,ETH,280,10.52395749026715,2.308,ET
2429,ETH,289,179.5248111734515,207.07333333333335,ET
2430,ETH,292,0.7901421221734871,1.26,ET
2431,ETH,328,57.60259024623186,77.812,ET
2432,ETH,339,99.68325088417535,120.0155,ET
2433,ETH,358,35.94878025403288,87.21,ET
2434,ETH,372,4.45879360035973,0.08033333333333333,ET
