Company,Date,total_score,env_score,soc_score,gov_score,orga_score,policy_score,practice_score,practice_self_score,practice_ext_score,practice_cert_score,sust_policy_score,landbank_score,cert_standards_score,def_biodiv_score,hcv_hcs_score,soils_fire_score,water_chemicals_score,community_land_labour_score,smallholders_suppliers_score,gov_grievance_score,Parent company,Subsidiaries,Bloomberg ticker,Thomson Reuters ticker,Sedol,RSPO Member,Location,Sustainability Report,SR Year
Indofood Agri Resources Ltd,Mar-23,46.3,36.55,48.68,41.13,47.22,60.39,25.91,24.55,1.36,0,84.1,27.8,5,32.3,78.6,41.7,44.6,68.4,5.6,60.7,PT Indofood Sukses Makmur Tbk,"PT PP London Sumatra Indonesia Tbk (""Lonsum"")",IFAR SP Equity,IFAR.SI,,,"Indonesia (North Sumatra, South Sumatra, and South Sulawesi)",http://www.indofoodagri.com/misc/sr2021.pdf,2021
Indofood Agri Resources Ltd,Mar-22,46.8,37.27,48.61,36.29,45.71,57.24,30,30,0,0,-,-,-,-,-,-,-,-,-,-,PT Indofood Sukses Makmur Tbk,"PT PP London Sumatra Indonesia Tbk (""Lonsum"")",IFAR SP Equity,IFAR.SI,,,"Indonesia (North Sumatra, South Sumatra, and South Sulawesi)",http://www.indofoodagri.com/misc/sr2021.pdf,2021
Indofood Agri Resources Ltd,Mar-21,41.9,31.65,45.7,38.1,53.57,56.67,17.68,17.68,0,0,-,-,-,-,-,-,-,-,-,-,PT Indofood Sukses Makmur Tbk,"PT PP London Sumatra Indonesia Tbk (""Lonsum"")",IFAR SP Equity,IFAR.SI,,,"Indonesia (North Sumatra, South Sumatra, and South Sulawesi)",http://www.indofoodagri.com/misc/sr2021.pdf,2021
Indofood Agri Resources Ltd,Nov-19,13.1,5.49,17.01,22.92,43.1,5.21,1.74,1.74,0,0,-,-,-,-,-,-,-,-,-,-,PT Indofood Sukses Makmur Tbk,"PT PP London Sumatra Indonesia Tbk (""Lonsum"")",IFAR SP Equity,IFAR.SI,,,"Indonesia (North Sumatra, South Sumatra, and South Sulawesi)",http://www.indofoodagri.com/misc/sr2021.pdf,2021
ITOCHU Corporation,Mar-23,62.6,51.43,70.83,66.38,74,70.54,38.33,20,18.33,0,95,75,40,45,60,58.3,18.2,78.3,39.6,75,,Aneka Bumi Pratama PT,8001 JT Equity,,,,Indonesia (South Sumatera and Jambi),https://bit.ly/3tHFtVr,2022
ITOCHU Corporation,Mar-22,57.9,44.78,69.57,67.59,66.67,64.55,37.93,25,12.93,0,-,-,-,-,-,-,-,-,-,-,,Aneka Bumi Pratama PT,8001 JT Equity,,,,Indonesia (South Sumatera and Jambi),https://bit.ly/3tHFtVr,2022
J.A. WATTIE Tbk,Mar-23,20.3,12.88,25,29.29,44.74,18.75,7.54,7.54,0,0,54.6,31,5,0,18.2,19.3,2.2,32.9,8.9,46.4,PT Sarana Agro Investama,,JAWA IJ Equity,JAWA.JK,,,"Indonesia (Java, South Kalimantan)",https://bit.ly/3FLoyYS,2021
J.A. WATTIE Tbk,Mar-22,9.6,4.67,13.48,8.57,21.62,6.96,5.19,5.19,0,0,-,-,-,-,-,-,-,-,-,-,PT Sarana Agro Investama,,JAWA IJ Equity,JAWA.JK,,,"Indonesia (Java, South Kalimantan)",https://bit.ly/3FLoyYS,2021
J.A. WATTIE Tbk,Mar-21,12.6,7.85,17.14,12,27.59,10.78,4.65,4.65,0,0,-,-,-,-,-,-,-,-,-,-,PT Sarana Agro Investama,,JAWA IJ Equity,JAWA.JK,,,"Indonesia (Java, South Kalimantan)",https://bit.ly/3FLoyYS,2021
J.A. WATTIE Tbk,Nov-19,11.3,7.62,13.89,12.5,22.41,10.42,4.65,4.65,0,0,-,-,-,-,-,-,-,-,-,-,PT Sarana Agro Investama,,JAWA IJ Equity,JAWA.JK,,,"Indonesia (Java, South Kalimantan)",https://bit.ly/3FLoyYS,2021
Kirana Megatara,Mar-23,50.9,47.29,52.32,38.64,58.57,68.35,20.91,16.36,4.55,0,65.9,44.7,34.4,43.8,57.1,52.5,51.1,59.9,33.3,57.1,HSF (S) Pte. Ltd.,,KMTR IJ Equity,KMTR.JK,,,"Indonesia (North Sumatra, Jambi, Riau, South Sumatra, Lampung, Bangka Belitung and North, Central and West Kalimantan)",https://www.kiranamegatara.com/uploads/product/Annual_Report_20211.pdf,2021
Kirana Megatara,Mar-22,41.2,37.5,42.35,32.86,36.11,55.06,22.45,18.88,3.57,0,-,-,-,-,-,-,-,-,-,-,HSF (S) Pte. Ltd.,,KMTR IJ Equity,KMTR.JK,,,"Indonesia (North Sumatra, Jambi, Riau, South Sumatra, Lampung, Bangka Belitung and North, Central and West Kalimantan)",https://www.kiranamegatara.com/uploads/product/Annual_Report_20211.pdf,2021
Kirana Megatara,Mar-21,44,40.18,48.91,49,42.59,60.78,24.4,22.02,2.38,0,-,-,-,-,-,-,-,-,-,-,HSF (S) Pte. Ltd.,,KMTR IJ Equity,KMTR.JK,,,"Indonesia (North Sumatra, Jambi, Riau, South Sumatra, Lampung, Bangka Belitung and North, Central and West Kalimantan)",https://www.kiranamegatara.com/uploads/product/Annual_Report_20211.pdf,2021
Kirana Megatara,Nov-19,21.5,15.85,26.74,28.13,32.76,17.71,18.02,13.37,4.65,0,-,-,-,-,-,-,-,-,-,-,HSF (S) Pte. Ltd.,,KMTR IJ Equity,KMTR.JK,,,"Indonesia (North Sumatra, Jambi, Riau, South Sumatra, Lampung, Bangka Belitung and North, Central and West Kalimantan)",https://www.kiranamegatara.com/uploads/product/Annual_Report_20211.pdf,2021
